date,Magnitude
2016-01-01,172.724537037037
2016-01-02,160.14814814814818
2016-01-03,212.07407407407408
2016-01-04,212.69907407407408
2016-01-05,180.1319444444444
2016-01-06,147.89583333333334
2016-01-07,213.3287037037037
2016-01-08,215.06944444444443
2016-01-09,211.58333333333334
2016-01-10,206.0300925925926
2016-01-11,179.8125
2016-01-12,213.76851851851853
2016-01-13,214.87037037037035
2016-01-14,205.23148148148147
2016-01-15,206.85648148148147
2016-01-16,114.34722222222221
2016-01-17,159.71064814814815
2016-01-18,208.82175925925927
2016-01-19,187.83564814814812
2016-01-20,205.16435185185188
2016-01-21,203.04861111111111
2016-01-22,173.55787037037038
2016-01-23,166.20833333333331
2016-01-24,203.22685185185188
2016-01-25,148.92361111111114
2016-01-26,208.77083333333334
2016-01-27,199.30555555555557
2016-01-28,206.17592592592595
2016-01-29,229.91203703703704
2016-01-30,194.4074074074074
2016-01-31,220.5787037037037
2016-02-01,220.5787037037037
2016-02-02,235.16898148148147
2016-02-03,220.28472222222223
2016-02-04,236.87962962962962
2016-02-05,175.34027777777777
2016-02-06,228.9675925925926
2016-02-07,208.18981481481484
2016-02-08,240.77777777777777
2016-02-09,199.212962962963
2016-02-10,198.7800925925926
2016-02-11,241.7337962962963
2016-02-12,246.79166666666666
2016-02-13,194.58796296296296
2016-02-14,223.93518518518516
2016-02-15,218.83796296296296
2016-02-16,237.58564814814812
2016-02-17,194.30092592592592
2016-02-18,220.48611111111114
2016-02-19,236.72685185185182
2016-02-20,199.41203703703704
2016-02-21,219.37037037037038
2016-02-22,221.75
2016-02-23,230.53935185185188
2016-02-24,179.32407407407405
2016-02-25,246.45833333333334
2016-02-26,200.11574074074073
2016-02-27,236.63194444444443
2016-02-28,171.55555555555557
2016-02-29,252.73842592592592
2016-03-01,256.8796296296297
2016-03-02,232.69675925925927
2016-03-03,226.59490740740745
2016-03-04,213.22916666666666
2016-03-05,161.29398148148147
2016-03-06,178.47222222222223
2016-03-07,126.19675925925927
2016-03-08,123.70833333333333
2016-03-09,253.0532407407408
2016-03-10,247.98148148148147
2016-03-11,259.97222222222223
2016-03-12,227.60648148148147
2016-03-13,203.65277777777777
2016-03-14,171.88657407407408
2016-03-15,255.00231481481484
2016-03-16,266.09259259259255
2016-03-17,134.57407407407408
2016-03-18,287.4537037037037
2016-03-19,274.59953703703707
2016-03-20,279.3796296296296
2016-03-21,280.0138888888889
2016-03-22,221.92361111111114
2016-03-23,206.95833333333331
2016-03-24,283.14583333333337
2016-03-25,280.2199074074074
2016-03-26,215.51157407407408
2016-03-27,249.51157407407408
2016-03-28,297.011574074074
2016-03-29,202.54166666666669
2016-03-30,194.91435185185182
2016-03-31,206.40277777777777
2016-04-01,227.18055555555551
2016-04-02,287.59722222222223
2016-04-03,279.4398148148148
2016-04-04,243.6736111111111
2016-04-05,232.77083333333334
2016-04-06,270.2384259259259
2016-04-07,238.25231481481484
2016-04-08,238.25231481481484
2016-04-09,238.25231481481484
2016-04-10,307.58796296296293
2016-04-11,237.44675925925927
2016-04-12,222.04398148148147
2016-04-13,295.34722222222223
2016-04-14,307.06018518518516
2016-04-15,305.80555555555554
2016-04-16,311.74768518518516
2016-04-17,301.21296296296293
2016-04-18,207.94675925925927
2016-04-19,161.95370370370372
2016-04-20,204.58333333333331
2016-04-21,251.5625
2016-04-22,148.40509259259258
2016-04-23,208.08796296296296
2016-04-24,286.94444444444446
2016-04-25,195.71527777777777
2016-04-26,164.31944444444443
2016-04-27,224.11805555555557
2016-04-28,249.56944444444443
2016-04-29,171.4398148148148
2016-04-30,148.93981481481484
2016-05-01,164.91203703703704
2016-05-02,228.40046296296296
2016-05-03,261.21296296296293
2016-05-04,269.98611111111114
2016-05-05,301.9074074074074
2016-05-06,297.82175925925924
2016-05-07,262.22453703703707
2016-05-08,145.90740740740745
2016-05-09,244.95601851851853
2016-05-10,256.04861111111114
2016-05-11,188.53009259259258
2016-05-12,275.11805555555554
2016-05-13,210.16666666666666
2016-05-14,271.79398148148147
2016-05-15,264.95833333333337
2016-05-16,270.85879629629625
2016-05-17,301.14120370370375
2016-05-18,311.5138888888889
2016-05-19,258.71990740740745
2016-05-20,281.30324074074076
2016-05-21,255.3842592592592
2016-05-22,316.0439814814814
2016-05-23,316.38194444444446
2016-05-24,269.23379629629625
2016-05-25,312.18981481481484
2016-05-26,300.97685185185185
2016-05-27,199.34259259259258
2016-05-28,209.71759259259255
2016-05-29,220.10416666666666
2016-05-30,204.84722222222223
2016-05-31,227.54861111111114
2016-06-01,193.96990740740742
2016-06-02,169.650462962963
2016-06-03,261.1875
2016-06-04,255.42824074074073
2016-06-05,238.54398148148147
2016-06-06,292.21527777777777
2016-06-07,267.74305555555554
2016-06-08,263.97685185185185
2016-06-09,295.89814814814815
2016-06-10,295.699074074074
2016-06-11,299.54166666666663
2016-06-12,312.14351851851853
2016-06-13,310.25
2016-06-14,306.26388888888886
2016-06-15,295.41435185185185
2016-06-16,297.9398148148148
2016-06-17,315.15046296296293
2016-06-18,249.31481481481484
2016-06-19,251.73611111111114
2016-06-20,137.11574074074076
2016-06-21,288.53935185185185
2016-06-22,314.4837962962963
2016-06-23,316.04166666666663
2016-06-24,320.54398148148147
2016-06-25,301.11574074074076
2016-06-26,281.58564814814815
2016-06-27,320.6574074074074
2016-06-28,272.96990740740745
2016-06-29,229.21064814814812
2016-06-30,292.97916666666663
2016-07-01,166.6226851851852
2016-07-02,105.09004629629628
2016-07-03,105.09004629629628
2016-07-04,301.625
2016-07-05,246.84027777777777
