processed_at,date,coverage_percent,CHL_NN_R1_empty,CHL_NN_R2_empty,CHL_NN_R3_empty
2025-11-04T19:09:36Z,2016-12-22,83.01886792452831,False,False,False
2025-11-04T19:09:36Z,2016-12-23,58.333333333333336,False,False,True
2025-11-04T19:09:36Z,2016-12-26,86.79245283018868,False,False,False
2025-11-04T19:09:36Z,2016-12-29,95.83333333333333,False,False,False
2025-11-04T19:09:36Z,2016-12-30,80.85106382978724,False,False,False
2025-11-04T19:09:36Z,2017-01-02,77.77777777777777,False,False,False
2025-11-04T19:09:36Z,2017-01-03,85.36585365853658,False,False,False
2025-11-04T19:09:36Z,2017-01-06,40.35087719298246,False,False,True
2025-11-04T19:09:36Z,2017-01-07,79.48717948717949,False,False,False
2025-11-04T19:09:36Z,2017-01-10,86.66666666666667,False,False,False
2025-11-04T19:09:36Z,2017-01-11,24.242424242424242,False,False,True
2025-11-04T19:09:36Z,2017-01-14,91.07142857142857,False,False,False
2025-11-04T19:09:36Z,2017-01-15,29.62962962962963,True,False,False
2025-11-04T19:09:36Z,2017-01-18,82.45614035087719,False,False,False
2025-11-04T19:09:36Z,2017-01-19,92.3076923076923,False,False,False
2025-11-04T19:09:36Z,2017-01-22,26.923076923076923,False,False,True
2025-11-04T19:09:36Z,2017-01-25,89.36170212765957,False,False,False
2025-11-04T19:09:36Z,2017-01-26,58.69565217391305,False,False,False
2025-11-04T19:09:36Z,2017-01-29,90.56603773584905,False,False,False
2025-11-04T19:09:36Z,2017-01-30,45.23809523809524,True,False,False
2025-11-04T19:09:36Z,2017-02-02,76.66666666666667,False,False,False
2025-11-04T19:09:36Z,2017-02-03,84.61538461538461,False,False,False
2025-11-04T19:09:36Z,2017-02-07,82.75862068965517,True,False,False
2025-11-04T19:09:36Z,2017-02-10,83.05084745762711,False,False,False
2025-11-04T19:09:36Z,2017-02-11,93.10344827586206,False,False,False
2025-11-04T19:09:36Z,2017-02-14,57.407407407407405,False,False,False
2025-11-04T19:09:36Z,2017-02-15,95.23809523809524,False,False,False
2025-11-04T19:09:36Z,2017-02-18,84.90566037735849,False,False,False
2025-11-04T19:09:36Z,2017-02-22,52.083333333333336,True,False,False
2025-11-04T19:09:36Z,2017-02-26,85.0,False,False,False
2025-11-04T19:09:36Z,2017-03-01,16.949152542372882,False,False,False
2025-11-04T19:09:36Z,2017-03-02,81.57894736842105,False,False,False
2025-11-04T19:09:36Z,2017-03-05,88.52459016393442,False,False,False
2025-11-04T19:09:36Z,2017-03-06,3.4482758620689653,False,True,True
2025-11-04T19:09:36Z,2017-03-10,43.333333333333336,False,False,False
2025-11-04T19:09:36Z,2017-03-13,71.9298245614035,False,False,False
2025-11-04T19:09:36Z,2017-03-14,75.0,False,False,False
2025-11-04T19:09:36Z,2017-03-20,26.41509433962264,False,True,False
2025-11-04T19:09:36Z,2017-03-21,33.333333333333336,False,False,False
2025-11-04T19:09:36Z,2017-03-28,72.41379310344827,False,False,False
2025-11-04T19:09:36Z,2017-03-29,82.05128205128206,False,False,False
2025-11-04T19:09:36Z,2017-04-01,91.52542372881356,False,False,False
2025-11-04T19:09:36Z,2017-04-02,93.33333333333333,False,False,False
2025-11-04T19:09:36Z,2017-04-05,94.73684210526316,False,False,False
2025-11-04T19:09:36Z,2017-04-06,32.0,False,True,False
2025-11-04T19:09:36Z,2017-04-09,36.206896551724135,True,False,False
2025-11-04T19:09:36Z,2017-04-10,8.695652173913043,True,True,False
2025-11-04T19:09:36Z,2017-04-13,69.38775510204081,True,False,False
2025-11-04T19:09:36Z,2017-04-16,6.122448979591836,False,True,True
2025-11-04T19:09:36Z,2017-04-20,27.45098039215686,True,False,False
2025-11-04T19:09:36Z,2017-04-21,82.5,False,False,False
2025-11-04T19:09:36Z,2017-04-25,70.27027027027027,False,False,False
2025-11-04T19:09:36Z,2017-04-28,22.641509433962263,True,True,False
2025-11-04T19:09:36Z,2017-05-03,52.0,False,False,False
2025-11-04T19:09:36Z,2017-05-06,30.90909090909091,True,False,False
2025-11-04T19:09:36Z,2017-05-07,40.90909090909091,True,True,False
2025-11-04T19:09:36Z,2017-05-10,25.0,True,False,False
2025-11-04T19:09:36Z,2017-05-13,9.803921568627452,True,True,True
2025-11-04T19:09:36Z,2017-05-14,75.0,False,False,False
2025-11-04T19:09:36Z,2017-05-17,75.47169811320755,False,False,False
2025-11-04T19:09:36Z,2017-05-21,81.03448275862068,False,False,False
2025-11-04T19:09:36Z,2017-05-22,67.56756756756756,False,False,False
2025-11-04T19:09:36Z,2017-05-25,87.93103448275862,False,False,False
2025-11-04T19:09:36Z,2017-05-26,6.0606060606060606,False,True,True
2025-11-04T19:09:36Z,2017-05-29,40.67796610169491,True,False,False
2025-11-04T19:09:36Z,2017-05-30,16.129032258064516,False,False,True
2025-11-04T19:09:36Z,2017-06-02,14.545454545454545,True,True,False
2025-11-04T19:09:36Z,2017-06-03,62.5,True,False,False
2025-11-04T19:09:36Z,2017-06-06,70.83333333333333,False,False,False
2025-11-04T19:09:36Z,2017-06-13,66.66666666666667,False,False,False
2025-11-04T19:09:36Z,2017-06-14,87.8048780487805,False,False,False
2025-11-04T19:09:36Z,2017-06-17,8.771929824561404,False,True,True
