date,filename
2025-08-01,INSOLRICO.2025213.gz
2025-08-02,INSOLRICO.2025214.gz
2025-08-03,INSOLRICO.2025215.gz
2025-08-04,INSOLRICO.2025216.gz
2025-08-05,INSOLRICO.2025217.gz
2025-08-06,INSOLRICO.2025218.gz
2025-08-07,INSOLRICO.2025219.gz
2025-08-08,INSOLRICO.2025220.gz
2025-08-09,INSOLRICO.2025221.gz
2025-08-10,INSOLRICO.2025222.gz
2025-08-11,INSOLRICO.2025223.gz
2025-08-12,INSOLRICO.2025224.gz
2025-08-13,INSOLRICO.2025225.gz
2025-08-14,INSOLRICO.2025226.gz
2025-08-15,INSOLRICO.2025227.gz
2025-08-16,INSOLRICO.2025228.gz
2025-08-17,INSOLRICO.2025229.gz
2025-08-18,INSOLRICO.2025230.gz
2025-08-19,INSOLRICO.2025231.gz
2025-08-20,INSOLRICO.2025232.gz
2025-08-21,INSOLRICO.2025233.gz
2025-08-22,INSOLRICO.2025234.gz
2025-08-23,INSOLRICO.2025235.gz
2025-08-24,INSOLRICO.2025236.gz
2025-08-25,INSOLRICO.2025237.gz
2025-08-26,INSOLRICO.2025238.gz
2025-08-27,INSOLRICO.2025239.gz
2025-08-28,INSOLRICO.2025240.gz
2025-08-29,INSOLRICO.2025241.gz
2025-08-30,INSOLRICO.2025242.gz
2025-08-31,INSOLRICO.2025243.gz
2025-09-01,INSOLRICO.2025244.gz
2025-09-02,INSOLRICO.2025245.gz
2025-09-03,INSOLRICO.2025246.gz
2025-09-04,INSOLRICO.2025247.gz
2025-09-05,INSOLRICO.2025248.gz
2025-09-06,INSOLRICO.2025249.gz
2025-09-07,INSOLRICO.2025250.gz
2025-09-08,INSOLRICO.2025251.gz
2025-09-09,INSOLRICO.2025252.gz
2025-09-10,INSOLRICO.2025253.gz
2025-09-11,INSOLRICO.2025254.gz
2025-09-12,INSOLRICO.2025255.gz
2025-09-13,INSOLRICO.2025256.gz
2025-09-14,INSOLRICO.2025257.gz
2025-09-15,INSOLRICO.2025258.gz
2025-09-16,INSOLRICO.2025259.gz
2025-09-17,INSOLRICO.2025260.gz
2025-09-19,INSOLRICO.2025262.gz
2025-09-20,INSOLRICO.2025263.gz
2025-09-21,INSOLRICO.2025264.gz
2025-09-22,INSOLRICO.2025265.gz
2025-09-23,INSOLRICO.2025266.gz
2025-09-24,INSOLRICO.2025267.gz
2025-09-25,INSOLRICO.2025268.gz
2025-09-26,INSOLRICO.2025269.gz
2025-09-27,INSOLRICO.2025270.gz
2025-09-28,INSOLRICO.2025271.gz
2025-09-29,INSOLRICO.2025272.gz
2025-09-30,INSOLRICO.2025273.gz
2025-10-01,INSOLRICO.2025274.gz
2025-10-02,INSOLRICO.2025275.gz
2025-10-03,INSOLRICO.2025276.gz
2025-10-05,INSOLRICO.2025278.gz
